title,//,sentence,//,Toefl,::
What is the most important animal in your country? Why is the animal important? ,//,"Many animals like tiger, cow, dog, and cat have an importance in the various aspects like as keeping guard over night and cultivating the soil, not to mention keeping the ecosystem.  Despite that, if I should choose one animal among them, dogs are the most significant in my country, Korea in terms of emotional development of children and dogs’ faithfulness. 

First of all, dogs are really helpful for the emotional development of children. That is, in the recent Korean society, parents are too busy for their work to take care for children and finally likely to make children selfish and rarely realizing the importance of sincere attention toward others.  In the case that children spend time with dogs while parents are not with them, however, they learn the spirit to consider others from dogs with giving a love to them like feeding, washing, wearing them.  Actually, one survey reported that Korean children grow up to the generous and mild character after living with dogs.

Moreover, dogs are faithful and give a lesson to many Korean people.  There is the famous saying in Korea like “The faithfulness of dogs is better than people.”  As this saying means, they are extremely subordinate to their master and even if they are thrown a few miles away, they desperately come back to their master even without eating anything.  Actually, one dog called as “Jin-do” is the representative dog of Korea, a symbol of faithfulness.  Therefore, dogs’ unchangeable love and trust to their master give many Koreans to a meaningful lesson like as the trust among people. 

Accordingly, dogs are considered as the most important animal in Korea.  Than any other animal, they more contribute to the formation of the good character like considering others and the demonstrator for the faithfulness among people.",//,essay,::
"It has been said. ""Not everything that is learned is contained in books."" Compare and contrast knowledge gained from experience with knowledge gained from books. In your opinion, which source is more important? Why? ",//,"There is a saying ""Nothing outlives book."" Since the creation of letters, people have started to record mysterious happenings, marvelous things, religious beliefs, historical events etc., in books. In this vantage point, books are not but  sums of human knowledge gained and experienced by people from ancient times to these days. However, knowledge and experiences in books have been ceaselessly refined and finally lost its crudity. As a result, knowledge gained from books are likely to be more abstract and indirect than knowledge gained from experience. 

       When we learn something by experience, it means that we happen to get a lesson about it by using our own body and soul. In contrast, when we learn something in books, it means we happen to know that by using only our brain. This is a great difference. For example, we can easily find books which say touching a burning pot could hurt you. However this kind of warning doesn't make good effects because it is very abstract. On the contrary, if a person who happen to touch a burning pot by mistake, easily learns it is very dangerous to get closer to hot objects. Moreover he will memorize it for a long time. Therefore knowledge learned by experience is more realistic. 

       In addition, knowledge in books is apt to be biased. Knowledge and information in books are tend to reflect their writer's point of view. It is not surprising to find various history books which witness the same historical event but show great different perspectives. Writers can deftly manipulate knowledge by hiding some or over-emphasizing a fact or another. This kind of cheating is easily overlooked by readers who are prone to believe that writers tell the truth. On the other hand, knowledge learned by experience is more direct. so there is no loophole for manipulation. For example, reports by press on damage or death toll for wars or disasters are often less precise than those by witness who experience the events in the place. 

       In my opinion, knowledge gained from books provide us basic and broad back ground information, But knowledge gained from experience give us more realistic and direct ideas for affairs. Therefore, I think knowledge learned by experience is more important and precious. Even though, knowledge in books seems to be better arranged and selected, we also have to listen carefully to vivid and living lessons of experience. ",//,essay,::
"Some students prefer to study alone, while others prefer to study with a group of poeple. Which do you prefer? Use specific reasons and examples to support your answer. ",//,"When the issue on the study method is discussed, almost all people, especially student, have their respective answer. This means that it takes greater important to them than any other. I also have a special way of study, which is rightly by study group. Although there are a lot of benefits in studying by oneself, I prefer to study group for following reasons. 

Before we consider the way to study, it is very reasonable to know what purpose of study is. I means by the purpose of study that it indicate not only preparing the exam, but also recognizing the facts, such as historical events, mathmatics, economic and so on. To recognize the facts is impossible by oneself because there are many view-points among people. The most fundamental aim of the study is to understand other's respective opinions. Therefore, we can obtain the truth by accepting or considering opinion of another person. 

Next, I cannot help raising following question ; how can we do when we have a question or problem? There are several answers about above question, such as using Internet, reference book and so forth. But, I think that the best answer is asking other persons about problems. As you know, when other persons like friends directly help one with problem, it is most effective way in solving that. 

In sum, different people have different answer due to their respective point of view. From what has been discussed above, I can draw the conclusion that studying with group is more beneficial than with alone. ",//,essay,::
A company has announced that it weshed to build a large factory near you communiry. Discuss the advantages and disadvantages of this new influence on your community. Do you support or oppowe the factory? Explain your position.,//,"     If a company were to announce that it wished to establish a big factory in my commmunity, I think I would have mixed emotions because there are advantage and disadvantage to building a factory, especially in a medium-sized town like mine. However, I think disadvantage affects to my town much more than advantage does in repect of pollution. 
     
     
     The main benefit of a new factory is obvious: increased jobs. During IMF, some TV program I was used to enjoying introduced one city experiencing some changes after a factory established in it. Before a factory entered, many of the heads of the families in the city were not able to get jobs because of 'System-Control' of the government. So many families underwent financial straits, and mood at home was heavy. Some of patriarches tried to deal with their mind as drinking, and fights were often occur on the street or at home. However, after building a factory, many jobless persons could get jobs and work on it. Families were released from financial pressure more and more and the atmosphere at home became warm. Also patriarches were not drinkers at all. All of the good changes originated from a new factory. 
     
    However, there is another concern about building a new company : pollution.   My city has many lakes and streams. I would want to know if they would be affected. Could you remember the happening 'itai-itai disease' in Japan from 1955 to 1957? The people in Doyama in Japan, especially old women, realized that their legs more and more bent into the inside. With getting worse the symptoms, they walked with faltering steps like a duck, ultimately, they went died on a bed with crying 'itai,itai'(It means I'm very sick)  Do you know the reason of that?? It was 'cadmium' drained by the factory nearby the river in town. Cadmium overflowed by the plant streamed and entered the river in town and the persons were affected while they didn't perceive. Finally, the factory destroyed the town. I don't never want to happen something like this in my community. 
     

      In conclusion, a big factory could give my community both advantage and disadvantage ; job and pollution. However, now most of the people in my community have jobs, so important thing is preserving natural environment in my community. Therefore, I opposes that a big factory should be established in my community. 

",//,essay,::
Some people believe that students should be given one long vacation each year. Others believe that students should have several short vacations throughout the year. Which view point do you agree with? Use specific reasons and examples to support your choice. ,//,"  In modern society, we are running for some purpose such as good score, university in school, Regardless of the period of the vacation, the vacation enables students wearing out due to hard work to take a rest and  could be vitamin to recharge our battery. When we find life a bore, I will have a long vacation in that it give students the chance which they can have the board outlook on life by a long trip and the time to prepare for the tests of special purposes. 


      On the one hand, a long vacation give us the chance which we can have the board outlook on life by a long trip. Long vacation enables students to travel to a region far away from their towns. During an adolescent period, taking a long trip is very useful. Through that, they can learn the wisdom of life as well as the wide knowledge that they could not learn in classes. For example, I traveled to Austrailia and worked as volunteer in  ATCV(Austrailia Trust Conservation Volunteer) for two months by using my first university summer vacation. Through the trip, I learned not only the world view  but also the importance of the nature by experiencing ATCV in Austrailia. Therefore by providing the chance to have a long trip, they can widen their outlook on life. 

     On the other hand, a long vacation could be used as the time to prepare for the tests of special purposes. As you see, there are some tests needing long preparation times for special purposes such as foreign language ability and professional technique. However, if the time to be given were so short for preparing the test,  they cannot concentrate on the test and the possibility which they can pass the test could be smaller. For instance, there is my brother who studied computer software for a technical license for two months by using winter vacation, finally he could get the license, he was employed at one of the most famous computer companies. Consequently, through a long vacation, students can prepare for the test of special purposes and develop their special abilities . 

In conclusion , I  have an opinion that if students use their long vacations effectively, they can broaden their experiences through traveling and enhance their special abilities by getting la long vacation  make students’ outlook more wide and give them the opportunity to prepare  for the  tests of special purposes. ful  for if students use their long vacations effectively, they can broaden their experiences through traveling and enhance their special abilities by getting licenses of the tests.  Plus  I call a long vacation  as Vitamin in our life. ",//,essay,::
"Do you agree or disagree with the following statement? People behave differently when they wear different clothes. Do you agree that different clothes influence the way people behave? Use specific examples to support your answer. 

",//,"There are many kinds of cloth for many specific situations. when I play sports, I wear some comfortable clothes that don't annoy movement. As you know, ceaseless movement is needed to play almost sports. For even some stationary sports, it is very important to feel comfortable for a good result. Then, why don't we always wear some comfortable clothes? It is because there is social restriction about clothes. then, why do this exist? what I want to say here starts from this question. 

        Clothes can affect our behaviors. As I mentioned above, when we play sports, we wear comfortable clothes to be free from disturbing our movement. And, we can move more actively. It will make a good result at the game. Is it impossible to wear a suit and a hat instead of a baseball uniform and a cap? Of coursem, not. But, they can not do well because of the uncomfortable clothes. So, I can say that cloth can affect our behaviors. 

        Moreover, I can find out one more fact that is about the relationship between cloth and behavior, from the example that I mentioned above, sports game. You know that sports players wear uniforms when they play a game. They wear uniforms which are same color, same design. Each element of the team would realize that they belong to same team. This feeling about belonging can help to make better cooperation for the players. Not only sports players, whoever belong to same organization feel this from uniform. And it can affect their behaviors to make a good result. 

        In conclusion, I mentioned some examples that show relation between clothes and behavior. It is obvious that different clothes influence the way people behave. So, good selection of clothes for proper situation would be very important. ",//,essay,::
"Do you agree or disagree with the following statement? People should read only those books that are about real events, real people, and established facts.",//,"There are two worlds: the world which is, and the world which might be. Nonfiction deals with the former, which is happening and happened, and fiction deals with the later, which the writer create. some people think they should read only those books that are about real events, real people, and established facts. But from once upon a time, we have read fiction such as detective novel, science novel . There is no reason to restrict our reading to nonfiction such as real events, real people, and established facts. In my case I voice a counterargument that people should read fiction too because reading a fiction make us to be imaginative and is one way of a rest in order to get out of  stresses.   

First of all,  reading a fiction  make us to be imaginative in our life. When we were children, we enjoyed reading novels such as fantasy novel, detective novel and watching an exciting cartoon on TV. Because some sort of fiction make an effect on our dream, we dream of pilot,  president, a detective , scientist and so on.  As you see, the imagination play an important role as motive power which our dream come true. For example, after I read Gullivers’ travel written by Jonathan swift, for long time a deep impression and excitation didn’t disappear. Whenever possible I dream of the adventure and oversea travel, So far I traveled several countries such as Austrailia, America, India, Nepal, Thailand, Japan  and got precious ones through travel. Above I mentioned, reading a fiction make an good effect on the power of imagination  in our life. 

Next, reading a fiction is a good way to take a rest and get out of stresses. With a developing industry and tight schedule of our modern life, we are having a trouble with stresses which make us so tired physically and mentally , even which induce the disease  like  cancer. By using spare time, when we read fiction, we can relax us without a pill of tranquilizer and get out of stresses effectively. To illustrate, while I worked hard in graduate school due to a heavy burden of a national research project, I am in bad condition both mentally and physically, even while a mere trifle irritate me. I start to read novel “The Lord Of The rings” for a solution to get rid of my problem. It results in a good success. Even though tough research project and tight schedule, I can have a tranquil heart without stresses. Under mental stresses, sitting on the bench, let’s read an exciting novel, and then you feel free, comfortable. 

In sum up, for the above-mentioned reasons, I support the idea that reading a fiction is beneficial for enhancing the power of the imagination and a good rest and the removal of our stresses. On top of that, we can say that these benefits from reading a fiction are priceless. ",//,essay,::
"Do you agree or disagree with the following statement? People should read only those books that are about real events, real people, and established facts. 

",//,"Why is it so important to acquire knowledge that is true and real? Imaginative and creative people do not prefer to live in mediocre life. To be successful in these days, people must think unique and rare ideas. Therefore, I do not agree that people should read books which are published by real events, people, and facts. 

        Knowing only how to think common thought, people do not know methods of surviving in a real life. Let’s think that one has never imagined anything and has learned about only real facts.  He will be a very weird person in society; for example, he will believe nothing before he sees it if people tell stories which they experienced. Consequently, he will be not only isolated from others but also a doubtful and cold person. 

        For children, ability of imagination and creativity is a significant trait. Most mothers try to listen to music and read books before babies are born. This occurrence is all for developing baby’s ability to think imaginative ideas. However, if children read only non-fictional books, they will become ordinary and standard people in the future. In addition, creative people remain to be remarkably successful by inventing unique items or extraordinary business plans. Hence, being creative and imaginative is important nowadays. 

        In conclusion, people do not need to read only books about real events, people, and facts because it can reduce an ability to imagine ideas and make people unemotional. If you want to success in your life, read fictional books instead of non-fictional one and become creative and imaginative! ",//,essay,::
"Schools should ask students to evaluate their teachers. Do you agree or disagree? Use specific reasons and examples to support your answer. 

",//,"  In Korea society, most social system was under the influence of the Confucianism, so the authority of the teachers was so strong that we could not help obeying the order and the teachings of them, moreover evaluating them is not allowed. But as the time goes on and on, Viewpoint of the education is changing. Now, we can say and I agree with the above statement , ”Schools should ask students evaluate their teachers.” In that evaluating their teachers improve their skills and the quality of the education through the competition and is a good way for school administrators to evaluate teachers efficiently. 


     In the first place , evaluating teachers improve their skills and the ability of the education through the competition. As you see, the profession like teacher is stable and there is few possibility to be dismissed , on the other hand they are apt to fall in the period of a lassitude. Because teachers also are human being, they could get lazy and difficult to control their first minds, back to basics.  To get rid of this kind of a lassitude, evalutation about teachers give them some sort of incentives which refill with a passion. To demonstrate,  in our uviversity, the system of evaluating professors was introduced two years ago. Before it  was introduced, the atmosphere of the lecture room was changed into a big enthusiasm, so we can learn a lot. Finally, without being restricted from leftovers of  Confucianism and thinking twice, the introduction of  the system of evaluating teachers is beneficial to rational education to enhance their skills and quality of the education through the competition. 

     In the second place, it is a good way for school administrators to evaluate teachers efficiently. When the school administrators evaluate the achievement of teachers, so many factors are included to it. In my thinking, one of the most important factors is whether students are satisfied with the lecture of the teachers, which show us the ability and the quality of the teachers. For example , Korea Information and Communication University used this system four years ago. The teacher who  get the worst score of evaluation receive some penalty, In viewpoint of efficiency of the organization, they succeed in it. If glancing, evaluating other people might be seen to bad thing, but it could contain more positive effects. Therefore we call evaluating teachers as a good method for managing the school organization. I think there should be no exception in every organization . 


     To sum up , I take the review that evaluating teachers is necessary for improve their skills and the quality of the education through the competition and is the efficient method for school administrators to evaluate teachers. Furthermore the good quality  of  the  education system which we will get by evaluating teachers absoulutely contributes to the developments of korea ",//,essay,::
Do you agree or disagree with the following statement? Parents are the best teachers. Use specific reasons and examples to support your answer.   ,//,"What do you think of learning? There could be plenty of answers to this question. Some can say learning means aquiring some kind of knowledge, while others regard learning as being harmonious with friends, family and neighbers. In my view, learning is the process of establishing relation with ohters. In this sense, I think we can learn more by parents because parents know us better than any other teachers in the world. What's more, parents give us love and affection that is indispensible for us to make good relation with others. 

First, as is mentioned above, there is no teacher who knows children better than parents. This is because parents have spent most of their time with their children. Although it is difficult for parents to give their children specific knowledge, information or skill, the very fact that parents know their children very well make them the best teachers. For example, teachers have no way to find out what their students need before students ask teachers what they want or need, because there are many students and few teachers. In addition, teachers can not spend most of their time in taking care of just one student. On the contrary, parents can spend relatively much time to their children. Thus, by spending a lot of time with their children, they can easily find out what children want to do, what they feel, and which they like more. 

Secondly, there is powerful device that make parents the best teacher such as love. Although there are many good teachers in this world, who can love their students more that their own children? Plus, in most case, the relationship between teachers and students are over when students graduate from school. Without personal affection to certain students, keeping touch with them is not as easy as we think. On the contrary, parents, the best teacher who love their students keep in touching with children with great concern before they die. 

In sum, it is not easy for us to conclude that parents are the best teacher because they can not teach us proffesional knowledge. However, the fact that parents understand thier children better that teachers and they love their children make parents the best teachers in this world. In this sense, I strongly agree with that statement.",//,essay,::
