essay,,,,I/B/C,,Thesis,,Topic,,Coherence,,Transition,,Main Idea,,Supporting Idea,,Style,,Usage,,Critique,//
1&Scientist should take responsibility for their inventions when they have the potential to be dangerous to humans.,::,"<IN>Some people believe that scientist should not take responsibility for their inventions when they have the potential to be dangerous to humans because this people think that inventions which are developed by scientists are so useful for living of human. <TS><TR>However,</TR> I think that they should have responsibility for their inventions when they have dangerous factors.</TS> There are two reasons why I feel this way. One reason for my argument is that they have known negative effect of their inventions. And the other reason is that taking responsibility can give scientists opportunity to develop their studies.</IN>

<BO1><MI1><TR>First of all,</TR> scientists know that they are creating something that has the potential to cause serious destruction. <TR>As a result,</TR> they should share the moral responsibility.</MI1> <EX><TR>For example,</TR> when the atom bomb was developed, Robert Opphenheimer knew that the atom bomb can cause to kill many people and to make cities devastated. But he made the atom bomb and it contributed to break out the second world war.</EX> <SI1><TR>Finally,</TR> creating the atom bomb exchanged the lives of people.</SI1> This example shows that scientist should take the responsibility for their inventions.</BO1>

<BO2><MI2><TR>Second,</TR> if scientist has responsibility, they can have a chance to develop their research.</MI2> <SI2>Taking responsibility can make that scientists are concerned about public opinion through the internet or news. So they can earn feedback quickly on their creations and it can be foundation to advance the inventions of high quality. <TR>As a result,</TR> taking responsibility for scientist invention bring about improvement of society.</SI2></BO2>

<CO><TR>In conclusion,</TR> scientists already know that how their creation dangerous and scientist also have an opportunity to develop their creations. So these are the reasons why I think that scientist should have responsibility for their creations when creations has dangerous factors.</CO>
",::,5,::,4,::,3,::,3,::,5,::,5,::,4,::,4,::,3,::,"Your essay is relatively strong.  Your thesis statement is good and so is your first reason, but the second reason is weak and requires more explanation.  Also, check your facts - Oppenheimer built the atom bomb in the middle of the second world war, and he did not fully realize the danger of it.  That is one weak point in your argument - sometimes scientists DON'T know that their inventions will be used negatively.  Overall, you have organized this essay very well, and your transitions are great.  Excellent structure, and good use of vocabulary.",//
2&What are some important qualities of a good supervisor(boss)? Use specific details and examples to explain why these qualities are important.,::,"<IN>As more and more people are seeking after a job where it offers a fine salary, people begin to realize that having a good supervisor is another important fact when considering for a job. In fact, some may say a good leader should be strict and organized since the leader can plan things out more neatly and give proper orders to his subordinates. <TS><TR>However,</TR> I strongly think that having a strong leadership and friendly personality are the most dominant qualities of a good supervisor.</TS></IN>

<BO1><MI1><TR>For starters,</TR> good leadership is a very important quality of a good supervisor because he can make his employees promote faster and that is what they do in their position at work.</MI1> <SI1><TR>In addition,</TR> this not only make the employees enhance their positions but paves the way to make company a better reputation by having good leaders.</SI1> <EX><TR>For example,</TR> my older sister, who finished graduate school, got a job where it gives enough salary. <TR>Afterwards,</TR> my sister had a supervisor who had a very strong leadership. Since the boss led my sister very well with good judgement and nice advices, she promoted much faster than her friends from graduate school.</EX> This implies that strong leadership is a very important characteristic of a good supervisor.<BO1>

<BO2><TR>Secondly,</TR> friendly leader is probably what the all employees are wishful to have at their work place. <SI2>This is because most of the workers from all over the world suffer from stresses at work because of high pressure from boss or because of unfriendly environment.<SI2><MI2><TR>However,</TR> if a leader is very friendly, that will create much comfortable atmosphere where all of the employees can work with such enjoyment and that will eventually lead to a long term work.</MI2> <EX><TR>To be more detailed,</TR> there was a survey among the workers from renowned company about the reason why they work in the long term. <TR>Not surprisingly,</TR> about half of them answered because of the high name value of the company, but other half of them responded that it is because of good leaders who are very friendly.</EX> This definitely implies the important quality of a good supervisor is a amiable personality.</BO2>

<CO><TR>On the whole,</TR> even though the jury is still out, I firmly believe that having a good leadership and friendly personality is the most significant traits among others because of faster promotion and enjoyable atmosphere at work.</CO>",::,5,::,5,::,5,::,4,::,5,::,5,::,5,::,5,::,4,::,"This is an excellent essay.  You make clear, strong statements and outline them well.  Good examples.  Your writing is very clear.  I would suggest using fewer transitions, though!",//
3&What are some important qualities of a good supervisor(boss)? Use specific details and examples to explain why these qualities are important.,::,"<IN>Many people have a tendency to watch sports game on TV. There are many people watch them, although they are televised at late night. <TR>In addition,</TR> people who do not watch them last night used to check the result of game in the morning through the Internet and newspaper, not to mentioned news. It is a good material to have a conversation with others in school and workplace. <TS><TR>In this sense,</TR> playing sports has an influence on our daily life and I think that it is helpful to improve the quality of our life owing to a character that includes some important lessons.</TS></IN>

<BO1><MI1><TR>First of all,</TR> people can learn various skills that are useful for them to adapt to their life.</MI1> <SI1>Because of the fact that human beings are social animal, if they are isolated from their society, they would feel stressed and turn bad or violent, not communicating with others. <TR>For this reason,</TR> it is very important for them to live in their society. By playing sports, we can get a cooperation skill and social skill that are essential for us. Playing sports is not a survival game, but one of the methods of conversation that makes it possible for them to understand each other.</SI1></BO1>

<BO2><MI2><TR>Secondly,</TR> the advantage of playing sports games is that we can learn sportsmanship, which is called the spirit of fair play.</MI2> Today, a huge number of games are held, with fixed rules demanded.<EX> Soccer game is a very popular game all over the world. However, it sometimes causes terrible accidents that take place in playing field.</EX> It is not right. Not only is it an illegal behavior, but also it deserves to be criticized. <SI2>The most important thing is not the result of the game, not player's attitude. Players have to respect other players, do their best and play fairly.<SI2></BO2>

<CO><TR>In conclusion,</TR> as I just mentioned above, playing sports games provides people with valuable lessons about their life.</CO>",::,5,::,4,::,3,::,4,::,5,::,3,::,5,::,4,::,4,::,"I like your approach to the essay.  I think you have a very easy, fluid writing style, and that makes it easy to read.  I like that, while you have clear main points and supporting points, they are not necessarily in order.  It makes the reader pay attention.  However, I think your actual points are a little bit weak.  They could be incorporated into the same point.  Think a little broader and come up with a second main point that is not so close to the first point.",//
4&You have received a gift of money. The money is enough to buy either a piece of jewelry you like or tickets to a concert you want to attend. Which would you buy?,::,"<IN>Some people may think that purchasing jewelry would better than attending a concert. The jewelry could be valuable in realistic. <TS><TR>However,</TR> I strongly recommend visiting the concert instead of buying a piece of jewelry for two points.</TS></IN>

<BO1><MI1>First point is that people hardly need worrying about losing memories.</MI1> A piece of jewelry would make people worry about losing it. Because of these worries, people can suffer from their mental stress. <TR>On the other hand,</TR> the memory is not going anywhere. <TR>Moreover,</TR> the impression that people could get from the concert would makes people happy. <SI1>With the help of the concert, people could refreshed and concentrate in their work much better by relieving stress form daily life.</SI1> <EX><TR>For example,</TR> when people get a lottery, they might be happy at first. <TR>However,</TR> there is a chance that it could be stolen or lost. So that people could not help worrying. <TR>On the other hand,</TR> if I attend exciting concert, I could recharge myself and get rid of stress. <TR>With this aspect,</TR> the memory of concert allows me pay attention to my work better.</EX></BO1>

<BO2><MI2>The other point is that people can find their new interest by attending concert.</MI2> When people attend the concert, the singer’s feather could be one of attractive things. <TR>Thus,</TR> it can promote people’s interest naturally. <SI2><TR>In contrast,</TR> a piece of jewelry hardly promotes people’s interest.</SI2> The impression that people get from it is only beautiful or pretty. <EX><TR>For instance,</TR> my favorite singer played the guitar at his concert one year ago. I was so impressed that I started to practice playing the guitar after the concert. Nowadays, playing a guitar becomes one of my hobbies.</EX> <TR>For this reason,</TR> attending concert could let me find my interest.</BO2>

<CO><TR>To sum up,</TR> I firmly recommend that people should attend the concert rather than make a purchase of a piece of jewelry. Even thought it could be a valuable, I can get stressed by worrying about losing it. <TR>In contrast,</TR> I can get helpful memory and find another interest by attending a concert.</CO>

",::,5,::,4,::,5,::,5,::,4,::,4,::,4,::,4,::,4,::,This is a good essay.  You state your points clearly as well as the counterpoints as your supporting ideas.  Try to limit yourself to one or two transitions per paragraph.,//
5&The ability to read and write is more important today than in the past. Do you agree or disagree?,::,"<IN>A lot of controversy exists over whether the literacy ability is more significant nowadays than in the past. Some might disagree with the given statement because the advent and development of literacy was greatly improved in the past than today. <TS><TR>Personally, however,</TR> I firmly think that reading and writing skill becomes increasingly more  important these days for several reasons. <TR>First of all,</TR> the employment competition is boosted now. <TR>Not only that,</TR> but people usually use the Internet in their daily routines.</TS> The following statements will support the opinion.</IN>

<BO1><TR>More than anything else,</TR> people are more competitive than before because it is difficult to find the job. <MI1>In modern society, people are likely to work at the company rather than just doing agriculture living in hometown like in the past. <TR>Thus,</TR> they have to put much effort on improving their reading and writing capability to get into preferred workplace.</MI1> <TR>As a result,</TR> the ability to read and write plays more crucial role in improving people's life. <EX>According to a study recently released by the Korean National Research Center, more than two thirds of CEOs of the corporations responded that they regard reading and wrting skill importantly because it is necessary in working.<SI1>Based on the research, they insisted that second-language is also important in global world.</SI1></EX> <TR>As this example demonstrates,</TR> it is no doubt that the literacy competitiveness is much more important than before.</BO1>

<BO2><MI2><TR>Besides,</TR> the technological development leads people to boost reading and writing skill.</MI2> <TR>Obviously,</TR> it is true that some people still enjoy off-line lives. <TR>However,</TR> current trend is using internet at shopping, doing assignments and communicating with others. <SI2><TR>Therefore,</TR> it is no coincidence that the literacy capability is required to modern people to use the Internet which is based on reading and writing.</SI2> <EX><TR>To illustrate,</TR> one of my friends Jessica is works on the net, not commuting to and from the work. <TR>Also,</TR> she shop around the Internet shopping malls with easy access to computer. <TR>Furthermore,</TR> she communicate with her parents who lived far away by e-mail.</EX> Without the literacy talent, she would not be able to live conveniently and effectively. <TR>In this sense,</TR> people these days should have the talents on reading and writing due to the development of technology.</BO2>

<CO><TR>As I have argued,</TR> I strongly believe that the capability of reading and writing is more importnat than before. This is due to the fact that competitive society and technological development. <TR>Given this,</TR> it is quite obvious that modern people need the skill how to read and write than in the past.</CO>",::,5,::,4,::,4,::,4,::,4,::,4,::,3,::,5,::,4,::,"Overall, your essay style is excellent.  You express yourself very well and give good examples.  I would suggest trying to use fewer transitions.  The points you are arguing feel a little weak, although your examples are very good.",//
"6&Today, life is easier and cozier than it was when our grandparents were young. Do you agree or disagree?",::,"<IN>Some people may argue that the generation of our grandparents was much easier and more comfortable to live. <TR>However,</TR> for the entire period of human civilization, roughly 8000 years, there have been significant changes. Adam and Eve became seven people population of people. Along with the growth in the number of population, growth in technology and income has blossomed as well. <TS><TR>Therefore,</TR> I strongly believe that life in my period of time has much better condition than the generation of grandparents’.</TS></IN>

<BO1><MI1>Modern society has created a number of inventions that people only dreamed of in the past.</MI1> <EX>People in the past had to do the laundries with their bare hands, spend time to wash their dishes, walk or ride horses to get to the destination, and sleep on the hard ground.</EX><TR> Yet,</TR> those are the conditions that the people in nowadays cannot even imagine living in. There are washing machines that do our laundries, dish washers that brighten our dishes, cars and airplanes that allow us to travel around the world within a day, and beds that provide comfortable environment for us to have sweet dreams. <SI1><TR>Nevertheless,</TR> there is an even better invention that distinguishes our lives from those of grandparents’; the Internet.</SI1> It has made our lives prosperous and easy. Thanks to the Internet, we can now shop clothes, furniture, and even groceries online. No one is required to leave their houses to purchase. <TR>Moreover,</TR> the Internet contains not only the shopping mall, but also the entertainment. It provides us with great games, movies, and dramas. <TR>Basically,</TR> everything that required labor force in the past is now possible without it due to the help of the Internet.</BO1>

<BO2><MI2>The internet and other developments have done a lot to enhance my generation’s living condition, but economic growth has done tremendous job to enrich the living environment.</MI2> <EX><TR>For example,</TR> my grandfather is a war veteran who fought in Korean War. The growth domestic product per person back then was less than a dollar, <TR>whereas</TR> the current GDP per person in Korea is over 20,000 dollars.</EX> <SI2>With this great advancement in economic growth, people can now afford products such as cars, cozy houses, and clothes.</SI2></BO2>

<CO>I feel grateful for my grandparents and the ancestors beyond them for letting me enjoy the abundance of this generation. Even though nothing lets me to live an immortal live, it is evident that remarkable development in technology and extensive growth in income permit my generation to live in better quality of lives than that of grandparents’. <TR>Therefore,</TR> I am strongly against the statement that our grandparents had better quality of live than our generation.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,"This is an excellent essay.  You make your points clearly and use excellent examples.  Your writing is very fluid and easy to follow.  Great work!  My only critique is that your last sentence contradicts the writing prompt.  Instead of saying ""I am against the idea that our grandparents had a better life"", remember that the prompt says that YOU have a better life than your grandparents, thus ""Therefore I agree that our lives are easier than our grandparents'.""",//
"7&Which do you prefer working alone or working with a team?

",::,"<IN>Co-working and collaboration are hot issues today. The society is more complex than before which means that there is no definitive answer for problem solving in these days. <TR>Thus,</TR> we need to listen carefully and to understand deeply the other's voices. It looks like that takes more time and more effort compared to single persons’ problem strategies. <TR>However,</TR> this is right approach, if we consider future risks.</IN>

<BO1>Collective Intelligence contains diverse aspects. <TR>As mentioned previous paragraph,</TR> there are lots of stakeholders even in single and small events today. <TR>Thus,</TR> these different voices might be future risks. <TR>So far,</TR> in the process of the problem solving and gathering ideas, we need a time for listening from various opinions from various stakeholders. <EX>Let's assume the road construction project, if local government do this project by top-down approach, this would make severe problems between local residents and users; If local government does not consider 'noisy', 'natural resources', and 'congestion', local people might make some protest for that. <TR>So far,</TR> construction period will be delayed or even possibly canceled.</TR> <MI1><TR>Thus,</TR> working together and listening the diverse voices are short-cuts to make effective accomplishment.</MI1></BO1>

<BO2><TR>Secondly,</TR> one plus one is more than two. This sentence looks too common. <TR>However,</TR> it contains lots of meaning. Let's assume the participatory discussion and debate in company; brain storming and mind-mapping are good examples. Through these kinds of events, the participants easily get the other's ideas and develop their idea by assistance from the others. <TR>In other words,</TR> we can find positive-leverage effects by working together. Definition of knowledge, which has been changed, is more worthy in case of spreading out to the others.</BO2>

<CO><TR>Sum up,</TR> everyone knows that to think alone and do alone is faster than working together. I firmly believe that it is not right approach. I repeatedly said that we need to consider more diverse aspects and various voices. Today, leader is not only one person. Meaning of leader is changed as like facilitator. <TR>Therefore,</TR> team members work together and think together to find a right solution; this is more proper approach in complex society.</CO>

",::,5,::,0,::,3,::,2,::,4,::,2,::,1,::,3,::,3,::,What is your stance on this subject?  Where is your thesis statement?  I can barely figure out if you prefer working alone or with other people.  You need to state your opinions and ideas clearly and worry less about using complex sentence structure and vocabulary.,//
"8&The ability to cooperate with others is more important today than in the past.

",::,"<IN>Some people say that it is important to cooperate with others well today than in the past. <TS><TR>However,</TR> on the other hand, I think that it is more important in the past than now to cooperate with people for the following reasons : people were not able to make up their living if they do not cooperate and because they have neighbours very close to them, it was important to cooperate.</TS> </IN>

<BO1><MI1><TR>First of all,</TR> it was important to cooperate with others to help out each other when they need some help.</MI1> This is due to the fact that people had to make all things by themselves at that time and those works required a lot of labor sometimes like when you are building a house or planting rice. It was not easy for them to do those things by themselves as it took lots of time and effort. <EX><TR>To be specific,</TR> there was a research done by Seoul National University showing comparison between the past and now how things got simpler and easier by the technology development. They found out that almost all works could be done with all sorts of machines.</EX> There was hardly a thing that could not be done. <SI1>People now do not have to depend on somebody else to help them with any kinds of work and therefore the importance of cooperating with others is weaken.</SI1></BO1>

<BO2><MI2><TR>In addition,</TR> it was important to cooperate and keep a good relationship with neighbours in the past.</MI2> This is attributed to the fact that people usually lived in a village, their houses side by side. Because they see each other very often and people at that time did not move their homes easily, it was common for people to live with their neighbours next to them for entire life. <TR>To be specific,</TR> if they had not keep a good relationship, they would have lived a stressful life because they see one another as many times as they see their family members. <SI2>Unlike in the past, now many people live in an apartment building, only have a few neighbours in each floor and they hardly see each other as they are busy with their own lives.</SI2> <EX>There was a survey done by some apartments asking how many times they see their neighbours and how close they are with them. The result was that there were people even did not know who lived next door and they were not usually close with them, just showing basic curtesy by simple greetings.</EX> This implies that because people in the past lived their lives with their neighbours close, it would have been important to cooperate with them in order to live happy lives.</BO2>

<CO><TR>In brief,</TR> although the ability to cooperate is important now, there were more needs of this ability in the past to make up their living easy and to live happy lives with the neighbours living next door.</CO>

",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,Excellent essay.  Your writing is clear and so are your ideas.  You use excellent examples and have a very fluid writing style.  Your points were also thought-provoking and original. This was very pleasant to read.  Good job!,//
9&Do you agree or disagree with the following statement? Games are as important for adults as they are for children. Use specific reasons and examples to support your answer.,::,"<IN><TS>Games have positive effect not only on children but also on adults.</TS> Sometimes violent computer games make people aggressive and commit some illegal affairs. <TR>However,</TR> games are not a petty or frivolous thing even to adults.</IN>

<BO1><MI1><TR>First,</TR> adults can get along with others and relieve stress as children do so.</MI1> When using the word, ‘game,’ we use ‘play’ as a verb. ‘Playing’ is the human natural behavior and all of us naturally learn how to play by ourselves. <SI1>By playing games, people form social relationship with friends, teachers, and their families.</SI1> It is not merely example for children. <TR>Especially,</TR> when adults get stressed out from their working places or relationships with others, they can relieve stress by playing games such as basketball or baseball games. <EX><TR>In my case,</TR> I usually play computer games with my friends when I get stressed out from study.</EX> It makes me forget some bad things temporarily and gives a chance to get along with my friends.</BO1>

<BO2><MI2><TR>Secondly,</TR> adults can feel a sense of achievement when they win the game.</MI2> Most games have the competitive characteristic. Games have certain rules, and players should follow and obey these rules in order to win the game. From the start of a game, people begin the game with the same condition. <TR>However,</TR> when proceeding the game, they meet difficulties and they may have competitive spirit to defeat someone else. Under fair rules, people lies on the competition in good faith. <SI2>This good competitive spirit has a positive effect on their life and outside of the game as well.</SI2> In the end of the game, we can feel joyful emotions and it stimulates our motivation more synergetic when we win others or get a higher score in a game.</BO2>

<CO><TR>In conclusion,</TR> the positive effects of games are not limited only to children. Adults should have some free time when they get stressed out. Playing games can be a prescription for today’s lethargic adults.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,"Very good essay, very good writing style.  Your ideas are clear and you support them well.",//
10&It is not desirable for teachers to express their view on social or political issues views in class. Do you agree or disagree?,::,"<IN>Nowadays role of teachers has tremendous importance in our lives. Opinions are divided over this statement that showing view political and social issues in class is not good for teacher. I do not agree with this statement for two reasons. <TS><TR>First,</TR> teacher can help student to understand well about social or political issues by showing their opinions with many media sources’ view. <TR>Secondly,</TR> student can be competitive.</TS></IN>

<BO1><MI1><TR>More than anything else,</TR> I think teacher only can help student to understand social and political issues. </MI1> <SI1>Teachers’ main role is to convey knowledge to students, so they are able to mention well-balanced view by integrating their own thinking and other authors’ view about social and political.</SI1> <TR>Therefore</TR> it will be helpful for student to have opportunity to be well informed about current society’s issues. Let me suggest example that can support my claim. <EX>I had a chance to travel to Africa continent few years ago. I was highly shocked that numerous people were suffering from starvation and AIDS. Even many children were in malnourished and had little or no access to education. I could not comprehend why these innocent people had to live in such detrimental conditions. So I sought out various sources about it on the Internet to learn more about as to the issues. There were conflicting views opinions in articles. Some news blamed first world countries for not providing enough aid to impoverish countries. Other pointed the finger at the civil wars among ethnic group in African continent. Thus, I could not understand which view is right.  Some days after, history teacher expressed his opinion regarding this issue, and suggested other experts ‘ perspectives in class. <TR>As a result,</TR> I was able to better understand the situation in a balanced view.</EX> <TR>As my experience shows,</TR> teacher can help student to comprehend current issue well. </BO1>

<BO2><MI2><TR>In addition,</TR> students are able to enhance their debating skills through discussion with teachers and classmates about main issues of society.</MI2> <SI2>Nowadays most employers of companies put importance on candidates’ real working ability such as socializing and discussion skills when they choose their workers. Thus students who have high level of debating can be competitive in job market.</SI2>I would explain how my reason could be supported. <EX>When teachers express their opinion about social and political events in the class, some student can have different view.  In that situation, teacher can divide the class into two groups, and two groups debate over the teacher’s view. For the discussion, teacher would prepare well and help progression of it. <TR>Thus,</TR> students are able to learn how to make points against others though debating experience.</EX><TR> As seen above,</TR> the discussion regarding social and political event with teachers and friends who express their perspectives will give great opportunity to improve their discussing skill to students. </BO2>

<CO><TR>As mentioned above regarding the topic,</TR> I think that it is desirable to show their perspective about social or political issues in class for the following reasons. <TR>Firstly,</TR> student can get balanced comprehension as to social or political issue through that teachers show their opinion with many authors’ views. <TR> Moreover,</TR> student can be grow up their debating ability through discussion about social issue with teacher.</CO>",::,5,::,3,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,"Overall this is a very good essay.  You express yourself well and your examples are very good.  Your main ideas are very strong and you support them well.  Your thesis statement is a little weak - you make your points, but you need to make a statement about your opinion first.  Finally, your conclusion needs to be more than just a repetition of your main points.  A good conclusion will summarize your feelings on the topic without being too repetitive.",//
