essay,::,StudentResponse,::,I/B/C,::,Thesis,::,Topic,::,Coherence,::,Transition,::,Main Idea,::,Supporting Idea,::,Style,::,Usage,::,Critique,//
"1&What do you consider to be the most important room in a house? Why is this 
room more important to you than any other room? Use specific reasons and 
examples to support your opinion.",::,"<IN>What do you think of the most important room in your house? <TS>I believe that livingroom is the most important in my house, because it is a place which family meet and we receive guests.</TS></IN>

<BO1><MI1>The livingroom is a place where family meet.</MI1> <SI1>Usually family are scattered during the day time but they meet at livingroom in the night. At livingroom, they watch television or talk to each other or read newspaper. The livingroom play an important part in connecting family. We have many conversations at livingroom. <TR>For instance,</TR> parent ask their children &quotWhat was the best part of the day for you?&quot These questions and answers make family it possible to understand each other very well. <TR>In other words</TR>, I think that livingroom is a rest and conversation place. I can relieve my stress through listening musics or watching TV programs in the livingroom. If your livingroom is very comfortable, you also feel comfortable.</SI1></BO1>

<BO2><MI2>The livingroom is a place where we receive guests.</MI2> <SI2>Most of guests are received in livingroom. <TR>For this reason</TR>, I think livingroom is image of a home. <EX><TR>For instance</TR>, when you visit your friend's house, if his or her livingroom is very clean and all tied up, you think he or she are a diligent person. The opposite case is same.</EX> So many people decorate their livingroom with various ornaments such as paintings, sculptures. I also adorn my livingroom with many paintings. Since I hope my guests comfortable in my livingroom and they have good image to my house and me.</SI2></BO2>

<CO><TR>To sum up</TR>, there are many rooms in my house. <TR>However</TR>, I think livingroom is the most important room. Since it is a place where my family meet and I receive guests. If you have a good livingroom, you feel comfortable while you are the livingroom, and your stress is vanished by talking your family, reading a newspaper, watching TV and so forth. Do not forget livingroom is your image.</CO>",::,5,::,5,::,4,::,4,::,4,::,5,::,4,::,4,::,4,::,"This is a pretty good essay.  Your thesis statement is great and your conclusion is very elegant.  However, I think you have some unnecessary ideas in your main paragraphs. The part about asking how everyone's day was doesn't have much to do with where you ask. Also, the reader doesn't need to know how you decorate your living room unless there is something about the decoration that makes it important to you.",//
2&Some people like doing work by hand. Others prefer using machines. Which do you prefer? Use specific reasons and examples to support your answer. ,::,"<IN>Using machines have lots of merits like cost and time efficiency and effectiveness. <TS>But I prefer working by hand because that has its own characters. Hand made goods is distinctive, personal, and valuable.</TS></IN>

<BO1><MI1>Hand made goods are different from the manufactured products.</MI1> <SI1>Every piece is distinctive. If you look at the hand made pottery, each one has it’s own character and personality. Even though some might be little irregular in shape, those become a charm to the pottery. Manufactured pottery, uniform in shape and less expensive, is not unique.</SI1></BO1>

<BO2><MI2>Made by someone, not some factory, make the goods personal.</MI2> <SI2>Specially made by somebody you love, it is priceless. I have children who love making cards and notes for me and other people they like. Sometimes their creation doesn’t look good like store bought, but that is very special for me.</SI2></BO2>

<BO3><MI3>Working by hand is time consuming job.</MI3> <SI3>In modern society, time is money. A person put his valuable time in the process of making, which can be done by the machine in no time. That makes the hand made goods more valuable than manufactured ones.</SI3></BO3>

<CO>So I prefer using hand over machine because of the distinctiveness, personality, and value. Hand made goods has it’s unique quality and character, which will be appreciated for years.</CO>",::,5,::,4,::,5,::,5,::,5,::,5,::,4,::,4,::,4,::,A very good essay!  Your points are good and they are well-organized.  Add some examples to make it even stronger.,//
3&Many people visit museums when they travel to new places. Why do you think people visit museums? Use specific reasons and examples to support your answer. ,::,"<IN>When we make a travel schedule, we try to find many famous things of the new place. Big shopping centers, entertaining places, big mountains or parks are common famous places that people want to visit. <TR>However</TR>, when we want to have a meaningful travel, we often choose to visit museum. <TR>Then</TR>, what makes us to visit museums? <TS>I believe that’s because people can experience many strange things in museums and they can expend their knowledge by visiting museums.</TS></IN>

<BO1><MI1>In museums of the new place, we can experience many things that we cannot have in our hometown.</MI1> <SI1>Some museums provide not only things that we can see, but also things that we can touch or smell or etc. <EX>Science museum can be a good example. When I went to Dae-Jun which had taken a EXPO-an international exhibition of science and technology- I visited many strange museums, where I could see and experience strange things like virtual traveling through the space.</EX></SI1></BO1>

<BO2><MI2><TR>Besides</TR>, by traveling museums, we can expend our knowledge.</MI2> <SI2>Most museums show us history of the place or history of something that is concerned with the place. <EX>If I go to Washington U.S, I’ll visit museums about the U.S government and if I go to L.A, I’ll visit museums about Hollywood. They will teach me about the history of U.S government and the history of Hollywood movie.</EX></SI2></BO2>

<CO><TR>As I stated</TR>, museums give us strange experiences and much valuable knowledge. That’s why we often visit museums when we travel. Add to them, <TR>in my opinion</TR>, visiting museums is popular among travelers because when they the finish the travel, thinking and learning cannot be forgotten in their mind for long time while just entertaining can be eraied easily.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,4,::,4,::,4,::,Another great essay!  I think your sentiment about not being able to un-learn what you learn in museums should go in the second main paragraph instead of the conclusion.,//
4&Many people visit museums when they travel to new places. Why do you think people visit museums? Use specific reasons and examples to support your answer. ,::,"<IN><TR>Usually</TR>, Visiting museums when people travel new country is regarded as routine course. <TS>There’re individual reasons, <TR>however</TR>, I think that two crucial motives visiting museum are the following two things; excitement with exotic culture and getting the knowledge about the country as soon as possible.</TS></IN>

<BO1><MI1><TR>Firstly</TR>, travelers visit the museums for enjoying unfamiliar culture.</MI1> <SI1>Many, if not most, museums have their own unique programs to offer their visitors like imitation antique parlor, birtual faculty for being a ancestors or custome event like traditional fashion show. Visitors can enjoy variety events, thus they look forward to go museums in exotic country. <EX><TR>For instance</TR>, my country’s tradition museum, located in kyoungki province near seoul, have several traditional games such as Guene-tuiki, Jeki-chaki and Nul-tuiki for foreign customers. All foreigners visited museum like to do those with delight.</EX></SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, travelers go to the museum in order to know the culture of visiting country for short time.</MI2> <SI2><TR>In general</TR>, history is the fastest way to know presence. <TR>Furthermore</TR>, Museum is the house where have the representative collections of the country’s history. <TR>Thus</TR>, going museum is easy way to know what cultural basis the country have. <EX><TR>Actually</TR>, I have several European friends who study Korean language and culture. When it comes to know why they study about korea, they said that they impressed wonderful and exotic culture in museum at first sight, so they decided to stay here and study about korea.</SI2></EX></BO2>
 
<CO><TR>To sum up</TR>, many travelers prefer to visit museum for excitement with variety events prepared by museum and knowing the place they visit for short time.</CO>",::,5,::,4,::,4,::,4,::,3,::,4,::,4,::,4,::,4,::,"This is a pretty good essay, but you are using too many transitions.  If you have a transition in three sentences in a row, get rid of one.",//
"5&It has been said. &quotNot everyting that is learned is contained in books.&quot 
Compare and contrast knowledge gained from experience with knowledge 
gained from books. In your opinion, which source is more important? Why? ",::,"<IN>Two very common ways of gaining knowldges are through books and experinces. Many people argue about in choosing the better method. <TS><TR>In my point of view</TR>, i prefer books to experience.</TS> There are some reasons for it.</IN>
 
<BO1><MI1><TR>First</TR>, books contain greater amount of knowledge.</MI1> <SI1>Books are based on personal life, scientific facts, fantasy and so on. <TR>In contrast</TR>, gaining knowledge through experience may be applicable, but limited; for you can't experience everything contained in books. <TR>Therefore</TR> gaining knowledge through books is more efficient.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, there are knowledges that can only be acquired through books such as geographical and historical knowledge.</MI2> <SI2>Our life span and is short. <TR>Thus</TR>, travelling every single place on the earth is impossible. Besides, our technology has not developed enough to invent the timemachine. That is why, we can't experience going back to our past. <TR>However</TR>, with the help of books, we can learn about those facts.</SI2></BO2>

<CO><TR>In conclusion</TR>, as we have considered, knowledges from books vary, and it give us knowldege that cannot be readily obtained through experience. <TR>Thus</TR>, through out the centries, books have always proved useful in our lives and it always will.</CO>",::,5,::,4,::,4,::,4,::,4,::,5,::,4,::,5,::,4,::,"This is a very good essay!  In fact, I like it so much I wish it was longer.  Try to add some concrete examples about something you personally learned through a book that you could never experience that ended up helping you in life.  A warning: don't use too many transitions.  They are all right in this essay, but I can see the temptation to rely on them too much.  Finally, try to add some reasons to your thesis statement.  It will make it stronger.",//
"6&Do you agree or disagree with the following statement? People should read only those books that are about real events, real people, and established facts. Use specific reasons and details to support your opinion. ",::,"<IN>Books can be classified into two groups ; fiction and nonfiction. Some people think that relacing and enjoying a good novel is a waste of time. <TR>Instead</TR>, they firmly believe that beneficial reading only comes from nonfictional works. <TR>Unfortunately</TR>, the poeple who believe this to be true don't understand the importance of novels. <TS><TR>In fact</TR>, fictional works affect people in many different ways.</TS></IN>

<BO1><MI1><TR>First of all</TR>, fiction can stimulate one's imagination and creativity.</MI1> <SI1>People can dream of new world by reading fiction. That can link to innovational invention. <EX><TR>For example</TR>, one person had thought about going to the moon. After trial and error, spaceship is made so that we could reach to the moon.</EX></SI1></BO1>

<BO2><MI2><TR>Second</TR>, Fiction can develope one's intellect and emotion.</MI2> <SI2><EX>Poems, <TR>for example</TR>, has various vocabularies which express author's idea and feeling. By reading poems, we can learn new words that we might not know. <TR>Besides</TR>, poem helps us to improve our mind and emotion because it is written one's idea emotionally.</EX></SI2></BO2> 

<CO><TR>To sum up</TR>, one might insist that only reading books about real events, real people and established can be of benefit. <TR>However<TR>, <TR>as I said above</TR>, there are a number of important factors that we can get from fiction. <TR>Thus</TR>, I disagree with the topic.</CO>",::,5,::,0,::,5,::,5,::,3,::,5,::,4,::,4,::,4,::,"This essay has so many good things about it.  I really like your argument, and your write well. However, you need to add more substance to your main paragraphs.  Develop your ideas.  Your examples especially need some more work.  Instead of saying &quotsomeone thought of a rocket ship and now we have one,&quot do a little research and find out how the rocket went from an idea to a reality and say a bit about it.  It makes it sound like you really know what you are talking about.  
There are a few organizational things that need to be addressed as well. Your introduction is excellent, but you are missing a thesis statement.  The thesis statement is meant to summarize what you are going to talk about. Ex. &quotI believe fiction is important because it stimulates creativity, which leads to innovation.&quot My only other complaint is that you use a lot of transitions for a short essay.  If you have three sentences in a row with transitions, then you are using too many.",//
7&Do you agree or disagree with the following statement? Grades(marks) encourage students to learn. Use specific reasons and examples to support your opinion.,::,"<IN>I think that people who consider grades as negligible sections of a student’s life have a bad choice. <TS>I agree that grades encourage students to learn.</TS> <MI1>In many colleges or universities, lots of students do a lot of homeworks enthusiastically, study hard for tests, and really want to advance their grades. So grades encourage students to concentrate on their lectures and to prepare hard for their examinations.</MI1> <MI2>Finally grades let students have great and enthusiastic campus lives.</MI2> Following is my specific ideas to support my opinion about a grade’s effects on a student’s studying.</IN>

<BO1><SI1>To get better grades, students concentrate on their lectures. <TR>Sometimes</TR>, they participate in their lectures, announce presentations, or ask questions to their professors. In this process, they get not only much better grades but also more information about their major subjects.</SI1></BO1>

<BO2>Many students worry and are scared by a variety of exams. <SI2>From a quiz to final exam, students prepare to their tests by studying their subjects. The reason they prepare for exams is to get better grades. And sometimes by being on Dean’s list, they have confidence in their abilities to study well. <TR>In contrast</TR>, if colleges regard grades or marks as a negligible part of campus life, student will not study hard for their lectures or exams. <TR>Consequently</TR>, they will have less knowledge about their majors in this atmosphere than otherwise.</SI2></BO2>

<CO><TR>In this passage</TR>, I explain why students need to get certain grades and how grades encourage students to study. Because of grades, marks, or scholarships, many students show great diligence in their campus lives. <TR>For instance</TR>, they concentrate on their lectures and prepare hard for their exams. <TR>In conclusion</TR>, I think it is evident that grades encourage students to learn and grades and scholarships are essential parts of school.</CO>",::,4,::,3,::,4,::,2,::,4,::,2,::,3,::,2,::,3,::,"This essay really needs some organization.  Your introduction is really where all your main ideas are.  Your next two main paragraphs are pretty much continuations and repetitions of your first main point.  It looks like there might be a second point about grades helping college life, but you never talk about it.  Your conclusion summarizes your first main point and then ends abruptly.
Here is what I suggest.  Write ONE SENTENCE about how your opinion on this topic. Next, write three sentences about why you feel that way.  Next, write three sentences under each main sentence giving proof and examples of your reasoning. Finally, look at all your reasons and summarize again why you feel the way you do.  That is essentially what an essay is.",//
8&People attend college or universty for many different reasons. Why do you think people attend colleges or universty? Use specific reasons and examples to support your answer. ,::,"<IN>People attend colleges or unversity for various reasons. It could be because of their desires to get highly educated or to gain new experiences. <TS>But among all these reasons I think the most critical reason is because people are wanting to get lucrative jobs.</TS></IN>
 
<BO1><MI1><TR>To exemplife this</TR>, more and more students are enrolling economics, business and law courses.</MI1> <SI1>This is because these courses will help them to attain high paying jobs in the future. The more popular these subjects get, it willl mean that people go to above mentioned high educatuin places to easily get well paid jobs.</SI1></BO1>

<BO2><TR>However</TR>, the popularity in courses such as chemistry, geology and ethics are decreasing because they lead to those jobs, which make one to study alot but with less profits. If this gets worse, our society might not have people like geologist and chemist but only lawyers and businessmen.</BO2> 

<CO><TR>In conclusion</TR>, many people if not all, are wanting to get highly educated to get lucrative jobs. But because every job is important, teachers must acknowledge students that doing what they wish to do is the best, even though the job does not bring economical profits.</CO>",::,3,::,3,::,4,::,3,::,4,::,3,::,3,::,2,::,3,::,"This essay would be all right with some organization and a second main idea.  Your argument is good, but it is the argument of one paragraph only.  Can you think of any more reasons to defend for this topic?",//
9&Awards and prizes are given for excellence in various fields. Do these awards and prize serve a useful purpose? Use specific reasons and examples to support your answer. ,::,"<IN>The people who do a great work have to receive prize and award. <TS>I think that the award and prize serve a useful purpose due to acquisition of wealth, social status, and happiness.</TS></IN>
 
<BO1><MI1><TR>First</TR>, the award and prize give him or her wealth.</MI1> <SI1><EX><TR>For example</TR>, the Novel Prize or Pulitzer Prize is useful in many case because it give him or her vast wealth, social status, and international fame. <TR>In fact</TR>, the Novel Prize, which divided into five fields, physics, chemistry, medical, peace and literature, gives to only one man every year.</EX> <TR>Furthermore</TR>, the awards given by Olympic or Physical competition also enable athletes to acquire the rewards.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, the man or woman who receive awards are able to warrant the social status.</MI2> <SI2>If the man or woman receive the famous and powerful prize, he or she become famous. So he or she will be recognized by public. <EX><TR>For example</TR>, the Albert Einstein, who received Novel Physics Prize in 20C, was only common physician before receive Novel Prize. <TR>However</TR>, after receive the prize, he became famous.</EX></SI2></BO2>

<BO3><MI3><TR>Finally</TR>, he or she can feel happy.</MI3> <SI3><TR>As a matter of fact</TR>, the people who receive prize are able to feel pleasant first. Because people feel happy when they receive wealth and fame. <TR>Moreover</TR>, he or she can forget he or she's efforts whose purpose is awards.</SI3></BO3>

<CO><TR>In summarize</TR>, awards and prize serve good purpose because of gain of wealth, social status, and happiness.</CO>",::,5,::,5,::,5,::,5,::,4,::,4,::,4,::,4,::,4,::,"You have written a good essay here, there are just a few things that need cleaning up.  My first thought when reading your first main idea is, what about the prizes that don't give money?  Also, your points are good but if you add a little more information to your main paragraphs, it will be better.  Finally, you need to have at least 3-4 sentences in your conclusion.",//
10&Do you agree or disagree with the following statement? Parents are the best teachers. Use spesfic reasons and examples to support your answer. ,::,"<IN>In the old days when schools were not prevalent, parents and grand parents were the best teachers. <TR>However</TR> the world has changed. There are too much to learn these days. <TS><TR>Therefore</TR> considering the world today, parents are no longer the best teachers.</TS></IN>
 
<BO1><MI1>In the former days people usually passed down their jobs to their children.</MI1> <SI1><TR>Therefore</TR>, it would have been easy to teach their children how they needed to act. <TR>However</TR>, the jobs have become more complicated these days and people don't usually follow what their parents did and do. So now there are limits for the parents to teach what thier chilfren require, thus making teachers in specified fields essential.</SI1></BO1> 

<BO2><MI2><TR>Moreover</TR>, teachers can help children understand faster and easier, as thay are made to do those things.</MI2> <SI2>Teachers could also educate children what their parentss cannot ; teaching how to play musical instruments, how to ride a horse and etc.</SI2></BO2> 

<CO><TR>In conclusion</TR>, in modern society, teachers act as what the parents used to be by educating children to get socializd. But this does not simply mean that parents are needless. Parents must guide, compliment and take care of their children in order to make education effetive.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,4,::,5,::,4,::,This has all the makings of a great essay.  All you need to do is add a little more information.  Keep in mind that a paragraph is supposed to be 4-5 sentences at the least.  Add some more to your main paragraphs and you will have a great essay!,//
