toefl,::,,::,I/B/C,::,Thesis,::,Topic,::,Coherence,::,Transition,::,Main Idea,::,Supporting Idea,::,Style,::,Usage,::,Critique,//
"1&""Which is better for children to grow up in the countryside or in a big city.""",::,"<IN><TR>Nowadays</TR>, the importance of environment in which children are grown has been emphasized gradually. <TR>In other words</TR>, surroundings may have a tremendous effect on the growth of kids. Following this trend, some people argue that it is better for children to grow up in the countryside whereas others oppose such thought. There has been a constant debate over this issue.<TS> I, <TR>however</TR>, personally disagree with the former idea since children in the urban area can acquire the better educational conditions as well as improve their capability through positive competition.</TS></IN>

<BO1><MI1><TR>To begin with</TR>, in the big city children can gain an easier access to the many facilities which are advantageous for them.</MI1> <SI1>Since there are more population in the urban regions than in the rural side, it is evident that there are more bookstores, private institutes, gyms, and other establishments in these areas: which surely aid children’s learning and enjoyment. <TR>For instance</TR>, private institutes provide kids with various kinds of lessons such as playing piano, swimming, or ballet. Also, bookstores offer them recent knowledge about the certain field. <TR>Consequently</TR>, children are more likely to meet with better educational environment.<EX><TR>As evidence</TR>, I had lived in a small, rural hometown for seven years before moving to the big city. Until then, even though I desired to learn how to play trumpet, I could not even go to the private institutes due to the lack of such facilities adjacent to my home. <TR>However</TR>, after I moved to the city, I could learn playing the instrument and since than I am satisfactory with living in the big city.</EX></SI1></BO1>

<BO2><MI2><TR>In the second place</TR>, positive competition can be involved when playing and studying with other peers in the urban area.</MI2> <SI2>As there are more children in the similar ages in the urban area rather than in the countryside, kids grab more opportunity to meet with one another. <TR>Thus</TR>, they would have more incentives to do better than others since human beings naturally have competitive mind. <TR>As a result</TR>, this competition prompts those children to seek as well as improve their hidden aptitude and potential talent. <EX><TR>To illustrate</TR>, my brother used to think that for him, it is no use of studying subjects any harder for he had already been a perfect student in his elementary school. <TR>However</TR>, after he moved to the urban city with his family two years ago, he realized that there are far more students learning and studying with passion in the big city. Now, he studies hard due to the positive competition.</EX></SI2></BO2> 

<CO><TR>In a nutshell</TR>, I disagree that living in the countryside is better for children than living in the big city owing to the huge number of facilities and positive competition. Of course, I admit that countryside can offer kids the fresh environment and peace. <TR>However</TR>, children can still meet with the environment by other means such as going vacation. <TR>Therefore</TR>, I firmly believe that living in the big city is more beneficial for kids.</CO>",::,5,::,3,::,5,::,5,::,3,::,5,::,5,::,5,::,5,::,"This essay is quite good, but you can make your thesis statement stronger by saying the point you disagree with (or agree with) instead of just alluding to it.  Also, you are using too many transitions! Try to cut down. As a rule, if you have a transition in three sentences in a row, you are using too many.",//
2&Do you agree or disagree with the following statement? A person’s years ( the time birth to twelve years of age) are the most important years of a person’s life. Use specific reasons and examples to suppory your answer.,::,"<IN>A person’s life consists of many years such as childhood, adolescence, man hood, and old age. Among these years, some people consider their adolescence years the most important years of their life. <TS><TR>However</TR>, I agree that a childhood years are the most important years in that people can acquire a language skill and form a shape of their basic personality before graduating the elementary school.</TS></IN>
 
<BO1><MI1><TR>First</TR>, people can master foreign languages by the education before they are 12 years old.</MI1> <SI1>A language skill is very important in people’s life, but it is impossible that adults learn foreign languages in short time such as 6 months or 1 years, so it can hardly help improving language skills. <TR>For example</TR>, according to the Department of Education of the United Kingdom, turning point of learning languages is the time when people are 12 years old. In the case of children, they have a capability to make certain rooms for what they are heard in their brain, which palys a role in language reservoirs. <TR>Thus</TR>, children can learn foreingn languages for a short time relative to adults. <TR>Therefore</TR>, the language education is more useful for their life in childhood.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, people can develop their fundamental personality in their youths.</MI2> <SI2>As personality make an influence on the Whole life, it is very important. By and large, the ordinary people gain basic knowledge to differenciate between right an wrong through their youth’s experience. <TR>Thus</TR>, although characteristics is formed from birth to dead, it is safe to say that not all the adults spending worse childhood sould have a healty wat of thinking. According to Harvey klein, an American psychologists, all things of this period become vivid memory in person’s unconsciousnees, shich decides their future. <TR>In this manner</TR>, people form the foundation of their personality, which is essential for him to live in society.</SI2></BO2>

<CO><TR>In conclusion</TR>, although some people say that childhood years is just the stage to prepare adolescent years, I think that this period makes the most important influece on life because people have better language skills and the foundation of personality to make their life valuable. Were it not for their childhood years, people would had a hard time living in society.</CO>",::,5,::,4,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,A very good essay! Take the transition out of your thesis statement to make it perfect.,//
3&If you could change one important thing about your hometown. What would you change? Use specific reasons and examples to support your answer.,::,"<IN>Although most people is satisfied with their hometown, they may have one more things to change. I also have one important thing to alter about my hometown. My hometown has many advantages such as high-tech industries, high quality education facilities, and well-organized traffic system, but doesn't have suitable green area. <TS>If I could, I would like to modify green area system of my hometown.</TS></IN>

<BO1><MI1><TR>First</TR>, nature provide us with pleasant rest place, and I will make more parks in my hometown.</MI1> <SI1>In my hometown, there are fairly good entertainment items like theaters, fitness clubs, cafes, and so on. But they are not related with nature. <TR>For example</TR>, my hometown's population is 50 million, there are only two small parks. So, those parks is crowded always, especially on weekend, and their environment is harmed rapidly. Because of convenient transport system in my village, if parks are made in different place, numerous residents can access easily. Also, they can relax and enjoy greens like trees, flowers, fountains, and lawn carpets with jogging, picnic, going for a stroll. <TR>At times</TR>, we gain satisfaction and relaxation more open space than indoor space. <TR>Therefore</TR>, I think that my town need to add to parks.</SI1></BO1> 

<BO2><MI2><TR>Next</TR>, making abundant green is contribute to clean air, because green area has ability to reduce air pollution.</MI2> <SI2>My hometown is known as numerous venture companies. The companies are employing not only our dwellers but also numberless people from different regions and some satellite towns. Most of them use cars in commuting. The cars emit toxic gas such as carbon dioxide, and the gas pollute air we are breathing. Plants absorb CO2, give out O2. And, many research proved that various trees have useful a function to cleanse. Green area of my village is insufficient to acquire the effect. There are some ways to add green area. For instance, the one is to plant trees along city roads and the other is to promote making garden in houses and office buildings.</SI2></BO2>

<CO>Now, my home town is good place to live in. <TR>However</TR>, when green area become more abundant, it has positive effects which are healthy and salutary rest zone like a park and clean air. Having plentiful green enable the residents to have rich living environment and pride of clean town about our community.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,A very good essay! Excellent job!,//
"4&Modern life is causing many traditions and beliefs to become less important. Choose one tradition of belief and explain why you think it should be continued and maintained. Use Specific reasons and examples to support your answer.
",::,"<IN>As human society and cultures are changing, some traditions that was preserved for dozens of generations are becoming neglected. <TR>However</TR>, there are many traditions that we should keep for our happiness. The most important one of these traditions is respecting older people.</IN>
 
<BO1><TS>The tradition of respecting the older has many advantages.</TS> <MI1><TR>Firstly,</TR> families and societies can learn much precious knowledge from the older people when we respect them.</MI1> <SI1>Because older people lived longer life than younger people, they have plenty of valuable experiences in there lives. Unless we are not respectful to the older, we will not listen to their stories. Also, older people will tell us better when they feel being respected.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, social order can be maintained by respecting older people.</MI2> <SI2>Respecting gives authority to the older people. Because of this authority, younger people will obey the instructions of older people. <TR>For example</TR>, if a young man throws trash on the street, an old woman near him can scold the bad behavior.</SI2></BO2>

<BO3><MI3><TR>Lastly</TR>, people feel secure for their old days because they will get the respect in the future.</MI3> <SI3>If the old people are not respected and treated as useless, all the young people will be get the same treatment. People do not worry about their old days in the future if currently old people are respected now.</SI3></BO3>

<CO><TR>In conclusion</TR>, respecting old people is the most important tradition that needs to be maintained and continued. By doing so, people can get knowledge from old people, keep the society’s order and be free from the worry of unclear future living. People should respect the older people for their own happiness.</CO>",::,5,::,4,::,4,::,4,::,5,::,4,::,4,::,5,::,5,::,"This is a pretty good essay, but I think your main points come off as a little weak because you don't have enough evidence to support them. You are giving an opinion with no evidence. Can you think of specific examples, or perhaps a study that has been done? Also, you need to move your thesis statement into your introduction.",//
"5&People attend colleges and universities for many different reasons (for example, new experiences, career preparation, increased knowledge). Why do you think people attend colleges? Use specific reasons and examples to support your answer.",::,"<IN>Attending higher-level schools including colleges, universities or graduate schools costs people much time and money. Despite the burden of paying fees and spending more than 2 years, people enter universities to obtain their own goals with their different backgrounds. <TS>The most frequent reasons for attending universities can be categorized as following three reasons. People want to get practical knowledge, to meet their intellectual curiosity and to make various kinds of friends.</TS></IN>
 
<BO1><MI1><TR>First</TR>, universities have many classes teaching students practical skills and knowledge.</MI1> <SI1>Student in a Computer Science department learns how to write software. The programming skills can be used in his job in any software company. Many people need to get a job after graduation and they hope this practical knowledge learned in universities will help them to find a better job.</SI1></BO1>
<BO2><MI2>It is not only practical skills but also purely academic and intellectual achievement that is taught in the universities.</MI2> <SI2>University students can learn the literature of former and contemporary ages in a literature class, and origin of life in a biology classes. Some classes in universities are providing knowledge not related with specific purpose or finding a job. Some people enjoy these classes because those can meet their desire to know something.</SI2></BO2>

<BO3><MI3>The last and most important advantages can be obtained in the university education is making friends.</MI3> <SI3>Because many sort of people are attending in these schools, university students can make many friends in attending universities. University education increases the chances of making good friends and it is the main purpose of attending for some people.</SI3></BO3> 

<CO><TR>In conclusion</TR>, people pay extra money and time in attending schools for practical knowledge, pure intellectual education and socialization. These advantages are important because it can affect people for their whole life. In addition, the three purposes are not mutually exclusive and people can achieve the three goals at the same time. <TR>In this way,</TR> the high tuition fee and long time of education can be justified.</CO>",::,5,::,5,::,5,::,5,::,5,::,4,::,5,::,5,::,5,::,"You have written a very good essay. I am not totally convinced by your point about some people going to university just to make friends… it seems quite an expensive way to do it. If you can come up with some examples, it might make your point stronger.",//
"6&It has been said, ""Not everything that is learned is contained in books."" Compare and contrast knowledge gained from experience with knowledge gained from books. In your opinion, which source is more important? Why?
",::,"<IN><TR>Broadly speaking</TR>, there are two ways of learning. One is from direct expereices from our daily life while others acquire knowledge from books. These has different attributes in the ways to acquire knowledge and <TS>I think that knowledge derived from books is more significant than the daily experience.</TS></IN>

<BO1><MI1>While personal experience would rather be scarse in obtaining knowlege, knowledge from reading books is diverse and various.</MI1> <SI1>As a student, my only job is studying and meeting my friends. There are no new experience which can teach wonderful things. I think that most of people have the same experience in that human being lives within the limited space and time.</SI1></BO1>

<BO2><MI2>I can obtain a well-aranged and good quality of knowledge from reading books which personal experience cannot provide.</MI2> <SI2>Let us see the mathematical theory. It is almost impossible to create our own idea and theory without any achievements of previous scholar. This is another reason why I insist that knowledge from books is important.</SI2></BO2>

<CO><TR>To conclude</TR>, knowledge derived from books is more important than those from my experience in the sense that the life of mine is limited in space and time and I can get a huge amount and variety of knowledge.</CO>",::,5,::,3,::,4,::,3,::,5,::,3,::,3,::,4,::,4,::,"First, I have indicated what the thesis statement should be, but you need to make it into its own sentence. Second, you have worded your two main points in a way that makes them sound quite similar. You aren't giving any examples or research to back up your claims, and your first main paragraph makes a point but the supporting sentences don't have anything to do with the main point. Pretend you are arguing this point in a court of law. How would you do it?",//
"7&Do you agree or disagree with the following statement? A person's childhood years (the time from birth to twelve years of age) are the most important years of a person's life. Use specific reasons and examples to support your answer.
",::,"<IN>Childhood years are precious to all people in the meaning of early experiences of life. A glance at study shows that experiences in childhood determine the characteristic in their whole life. But, some people think that they should consider their twenties as a key years to succeed in life. <TR>In my opinion</TR>, childhood affects our life enormously because we learn basic skills to live and understand other people's life when we are children.</IN>

<BO1><MI1>All the survival skills that we should learn are taught in one's childhood years.</MI1> <SI1>Like animals in wild, human beings as new born babies learn how to feed on themselves and what to do when they are hungry. <EX><TR>For instance</TR>, one of my friends doesn’t use chopsticks well because he doesn't have learned how to use them correctly. So people laugh at him from time to time at the sight of it.</EX> Early education makes children adjust to life.</SI1></BO1>

<BO2><MI2><TR>Besides</TR>, people come to know basic understanding of society when they are children.</MI2> <SI2>There are a lot of things we should know like how to behave in the restaurant and what to do in danger situations. <EX><TR>From time to time</TR>, I saw that some people cut in the long line in front of a theater even though they seemed 20s or 30s. The reason is that these people didn't be taught what to observe as members of their society when they were young.</EX> People should be brought up as responsible member of this world.</SI2></BO2>

<CO><TR>To conclude</TR>, <TS>I agree that childhood years are the most significant time of people's life because we come to know the fundamental skills to live and correct ways to behave among other people.</TS> <TR>Of course</TR>, it is important when we are 20s to learn advanced knowledge or it can be said that a period of 30s is meaningful because it is the mid of our life. But they are not as important as childhood.</CO>",::,5,::,3,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,This essay is excellent. I think it would be stronger if you switched your introduction paragraph and your conclusion - your conclusion is more forceful and has a better potential thesis statement. One thing - take out the 'glance at a study' part unless you can cite the study.,//
8&Some people think that children should begin their formal education at a very early age and should spend most of their time on school studies. Others believe that young children should spend most of their time playing. Compare these two views. Which view do you agree with? Why?,::,"<IN>Compared to past, more people tend to educate their children earlier these days. <TR>However</TR>, some people insist that parents should give their children much time to play outdoor. Both of views have advantages and disadvantages in many aspects.<TS><TR> In my opinion</TR>, young children have better go outside and play with their friends and the nature.</TS></IN> 

<BO1><MI1>Early formal education offers young children easy adaptation to study.</MI1> <SI1>They usually absorb much knowledge like sponges because their brains are so fresh that it can memorize everything they experience. If parents teach a foreign language to their babies, they can speak it perfectly in a year. It never happens in the age of 20. But early education can also give them confusion in understanding surroundings. They have no idea of moral or social sense. If they are taught to be fluent in calculating, they are apt to calculate and number all things even though the things should be thought as concept like love, honor, and so on.</SI1></BO1> 

<BO2><MI2>There is a strong advantage to spend their time playing.</MI1> <SI1>Playing outside helps juveniles to balance their physical and mental improvement. A glance of study shows that physical development of young boys and girls is faster than mental or intelligent development. <TR>Thus</TR>, free physical exercise should be needed and that can provide complete intelligence to young children. Then, why free exercise? The answer is that they may as well be eager to explore the infinite nature and society. Playing brings up their own will to help them to win the victory in their life.</SI2></BO2>

<CO><TR>In short</TR>, formal education can give children knowledge much easier way than adults. And children are able to acquire balance between physical and mental abilities from playing. <TR>Besides</TR>, playing raise their strong will to live as whole human beings. <TR>Consequently</TR>, I agree that children should play instead of studying formal knowledge.</CO>",::,5,::,5,::,5,::,4,::,5,::,4,::,5,::,5,::,5,::,"You have written a good essay here, but I suggest you reword your first main idea. It sounds like you are going to argue in favor of studying instead of playing. Make it clear in your first sentece that there is a drawback. Also, don't mention a study unless you can cite it.",//
"9& A company has announced that it wishes to build a large factory near your community. Discuss the advantages and disadvantages of this new influence on your community. Do you support or opposite the factory? Explain your position.
",::,"<IN>Comparing the past with today, people can enjoy more beneficial lives because of various items produced in factories. <TR>Therefore</TR>, a factory becomes one of the things we can easily see now. <TR>Also</TR>, a company has notified my community that it hopes to build a large factory near my town. When people heard the news, some agree with the plan and others negatively think about building a factory because building a factory has some advantages and disadvantages.</IN> 

<BO1><MI1><TR>On the one side</TR>, erecting a large factory will be able to benefit my community because of job opportunities' increase and the development of the economy of the community.</MI1> <SI1>If a company builds a large factory, it will need many people of various fields like architects, constructors, supervisors and so on. <TR>In addition</TR>, if the factory begins operating, it also will need much human labor. <TR>For example</TR>, there are manufactures mechanics, technicians, managers and accountants etc. <TR>Also</TR>, building a factory will contribute in economy of the community because the local government will collect taxes from the factory, people will be able to obtain their income from new occupations offered by the factory and the consumption and production will rise.<SI1></BO1>

<BO2><MI2><TR>On the other hand</TR>, building a factory has the downside to pollution problems and traffic congestions.</MI2> <SI2>If a factory starts its work, it will dispose harmful gases to air and toxic chemicals to near river and those will generate peoples' health problems. In reality, I heard the news that people who drunk water coming from polluted river suffered serious disorders. Also building a factory may give rise to traffic congestions in the region because there will be more cars and people coming and going especially at rush-hour. <TR>Therefore</TR>, people will be anxious about a traffic jam and accidents.</SI2></BO2>

<CO><TR>As compared above</TR>, building a factory has both advantages and disadvantages. <TR>However</TR>, <TS>I personally think that establish of a factory won't benefit my community.</TS> Although an employment and development of economy are important, I believe quality of a life (ex. a neat environment, peoples' safety) is more important. <TR>Consequently</TR>, I disagree with the plan that a company will build a factory near my community.</CO>",::,5,::,1,::,5,::,5,::,3,::,5,::,4,::,4,::,4,::,"This is a pretty good essay, but you need a thesis statement. I have indicated one that would be good. Add it as the last sentence of your introduction and get rid of it in your conclusion. You are in danger of using too many transitions, so take care with them. ",//
"10& You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and details to explain your answer.
",::,"Elementary, middle, and high school students go to school next the place they live. However, when we choose university, we must consider our grades and our major rather than our habitant. Then, if the university located in the far distance from our house, we would live in the dormitory of our university. In turn, we must live in one space with any other friend. In that cast, I think that it is much better for us to choose the friend. There are a couple of reasons for my perspective. 

Firstly, we can share with a friend who has the same major as mine. We may talk with the same title together as well as give and take information which is relate to our major each other. In result, that allow us to have a chance that can develop in our major field. In university life, it is important that we gradually accumulate knowledge about major field. 

Secondly, we already know personality and hobby of the other person. Because we could have known information and surround about the friend, like old friends, we will be able to concern about situation of the mate well. Moreover, if we has the same hobby, we would spend the time enjoying the hobby which my roommate and I everyone want. We don't have trouble having spare time and pastime with the roommate. 

In summary, I strongly insist that university offer us the system which can select dormitory's partner by oneself. That is to say, Even though that university allocate roommate to us roommate have various advantages, I think that we choose him/her may outweigh them in term of help about our major and heart understanding the other.",::,,::,,::,,::,,::,,::,,::,,::,,::,,::,,//
