diary,::,EV,::,TR,::,SR,::,CO,::,Comment,//
"1&Hello everyone.
<EV>I want to tell you about last night.</EV>
I could not sleep untill 2 o'clock.
I do not know the reason but I need to wake up at seven o'clock.
<TR>Finally</TR> I drank water then I fell into a deep sleep.
It was 2:00 so I am very tired.
<TR>But</TR> <SR>I can do my homework.</SR>
<CO>The end.<CO>",::,3,::,4,::,2,::,3,::,Diary doesn't contain many details describing event or writer's feelings.,//
"2&Hello
<EV>I have a good news.
What is it?
My mother is better <TR>but</TR> I also have a bad news.
What is it? Now my dad is sick.<EV> 
<SR>I do not want hime to be sick. Why? I love him
and if he is sick, how can we go to places?
And I have to stay at my aunt's house again. Now he is at the 
hospital. Please help me to pray for him to God.</SR>",::,2,::,3,::,4,::,4,::,Solid entry. Writer's feelings and event are clear. Entry could use more details.,//
"3&Hello everyone, <EV>today I have some bad news. 
What is it? My mom is sick.</EV>
She has a fever and said she is sick.
<SR><TR>But</TR> I wish she would not be sick but 
I know the reason. 
It is because today she did not wear warm clothes
when she went out.
Please, Mom, get well.
Mom, I love you.</SR> 
<CO>The end.</CO>",::,4,::,3,::,4,::,4,::,Event and feelings are clear. Details adequately describe the event.,//
"4&Hi everyone, <EV>on Friday it is my friend's birthday.</EV>
<SR>She is my best friend. 
We play every night together, most of the time at her house.
<TR>But</TR> actually it is not her birthday on Friday,
it is on Sunday. <TR>But</TR> it is the weekend so we are celebrating 
her birthday on Friday.
And it will be so fun and my birthday is on March 3.
And I am going to go to school in March. 
I wish March would come soon.</SR>",::,2,::,2,::,2,::,2,::,Entry skips around a lot. Doesn't reflect much about any particular event.,//
"5&Hi everyone, I have sad news. 
Do you know what? <EV>My beloved fish died.</EV> <SR>I am very sad.
And I do not know why. If you take care of some fish and 
know about fish then teach me how.
So I can take care of fish well.
Please, <TR>but</TR> if you do not know it does not matter. <TR>But</TR> two fish have died and
and I prayed to God and I think God really helped me because now 
they are a little bit better and <TR>but</TR> you should have good luck. 
I will pray for them.</SR>
<CO>The end.</CO> 

",::,4,::,2,::,3,::,4,::,"Writers feelings are clear, but the coherence fades towards the end of the entry.",//
"6&Hi everyone, <EV>today my fish laid eggs</EV> and 
<SR>they were cute and I did not know exactly
how many baby fish there were, because they looked same
and I do not know who laid them.
<TR>But I wnat to know.
Do you like fish?
I want to buy more fish. 
<TR>But</TR> my mother told me that fish die easily.
I am worried.</SR>
<CO>The end. </CO>

",::,3,::,3,::,2,::,2,::,Writer is clearly excited about the event but cuts the description short. The reader is left wanting to know more about what happened.,//
"7&Hello, everyone. 
<EV>On Christmas I got a gift.
Do you know what I received from Santa?
It was an aquarium and guess what today is.</EV>
We are going to buy fish.
My mother allowed me to.
Because Santa gave me an aquarium.
<SR>I think it is expensive so that is the reason.
I am so happy.
And right now we will go to see the fish.</SR>
<CO>Bye</CO>",::,4,::,3,::,4,::,4,::,Entry lacks details that would bring the event to life in the reader's mind.,//
"8&Hi, today, <EV>I got a dog eraser.</EV>
<SR>It was pretty. I like it so after writing my diary
I will play with the dog eraser. And I got it from somewhere. 
Because I got a lot of stickers from block class. 
I want to play with it right now. 
<TR>But</TR> I have to do my homework, and I have to read books,
so when I am finished I will play.
I am so happy to have it.</SR> 
<CO>Good-bye.</CO> 

",::,4,::,2,::,2,::,2,::,Event is clear and so are the writer's emotions. Details are a little unclear.,//
"9&Hello everyone. <EV>Today, I got a new notebook.</EV> And I think 
it is my 14th notebook.
<SR>I like this notebook. 
Because it has Hello Kitty on it. I love Hello Kitty.
It is cute and it is also new so it is clean and I can 
draw Hello Kitty very well.
Please do not become dirty, my notebook, or I will
hate you even though I will write on you.
When I go to school 
I will ask mom to buy me a Hello Kitty bag.
How about you?</SR>",::,4,::,2,::,4,::,3,::,Entry is original and the writer's feelings are clear. Emotion is relevant and captured.,//
"10&Hi, <EV>today my mother was taking care my aunt's baby
and he began to cry.</EV> <SR>And one time,
he wanted a piggy back ride. But my mom did not understand
so she kept holding him. 
<TR>But</TR> my mom realized that he wanted a piggy back ride. 
And another time he wanted mother's milk.
My mother doesn't have mother's milk and my mother said to me,
""Hey Hojoon is sleepy, and I guess not.""
<TR>But</TR> to me he looked like a little bit sleepy.</SR>
<CO>The end.</CO>",::,4,::,2,::,1,::,2,::,This entry is kind of a mess and not very organized. There is no self-reflection describing the writer's feelings.,//
